Preferred Asset Name,Preferred Domain,Site,Application,Function,Classification,System Type,VM ESX Host
d061rvlelss03,dqscust.local,72,Reveal,UNKNOWN,Dev,Virtual,d061atl10cmp03.epiqcorp.com
D061RVLNLPS01,dqscust,72,Nexlp,Processing,Dev,Virtual,d061atl10cmp01.epiqcorp.com
D061RVLNLPS02,dqscust,72,Nexlp,Processing,Dev,Virtual,d061atl10cmp01.epiqcorp.com
D061RVLNLPS03,dqscust,72,Nexlp,Processing,Dev,Virtual,d061atl10cmp00.epiqcorp.com
D061RVLPRCS01,dqscust.local,72,Reveal,UNKNOWN,Dev,Virtual,d061atl10cmp03.epiqcorp.com
D061RVLPRCS02,dqscust,72,Reveal,UNKNOWN,Dev,Virtual,d061atl10cmp03.epiqcorp.com
D061RVLPRCS03,dqscust,72,Reveal,UNKNOWN,Dev,Virtual,d061atl10cmp03.epiqcorp.com
D061RVLPRCS04,dqscust,72,Reveal,UNKNOWN,Dev,Virtual,d061atl10cmp03.epiqcorp.com
D061RVLRDS04,dqscust.local,72,Reveal,Remote Desktop Session Server,Dev,Virtual,d061atl10cmp03.epiqcorp.com
D061RVLSQLS01,dqscust,72,Reveal,SQL Server,Dev,Virtual,d061atl10cmp00.epiqcorp.com
d061rvltro01,dqscust.local,72,Reveal,UNKNOWN,Dev,Virtual,d061atl10cmp01.epiqcorp.com
d061rvltrw01,dqscust.local,72,Reveal,UNKNOWN,Dev,Virtual,d061atl10cmp03.epiqcorp.com
d061rvltrw02,dqscust.local,72,Reveal,UNKNOWN,Dev,Virtual,d061atl10cmp03.epiqcorp.com
D061RVLWEBS01,dqscust,72,Reveal,Web Server,Dev,Virtual,d061atl10cmp03.epiqcorp.com
D061RVLWebS02,dqscust.local,72,Reveal,Web Server,Dev,Virtual,d061atl10cmp03.epiqcorp.com
D061SFBCONT01,dqscust,72,Service Fabric,UNKNOWN,Dev,Virtual,d061esxhc0114.epiqcorp.com
D061SFBCONT02,dqscust,72,Service Fabric,UNKNOWN,Dev,Virtual,d061esxhc0106.epiqcorp.com
D061SFBCONT03,dqscust,72,Service Fabric,UNKNOWN,Dev,Virtual,d061esxhc0124.epiqcorp.com
d061sisapps01,dqscust.local,72,Sisense,AppServer,Dev,Virtual,d061atl10cmp00.epiqcorp.com
D061SLWAPPS01,dqscust,72,Solarwinds,Polling Server,Dev,Virtual,d061atl10cmp02.epiqcorp.com
D061SLWSQLS02,dqscust,72,Solarwinds,Sql Server,Dev,Virtual,d061atl10cmp02.epiqcorp.com
D061SQLMGMT01,dqscust,72,Infrastructure / It Utility,Database Support,Dev,Virtual,atl-i-esx-02.dtiad.local
D061SQLRPTS01,amer,72,Sql Reporting Server,SQL Server,Dev,Virtual,d061esxhc0114.epiqcorp.com
D061STSIWEB01,dqscust,72,Imaging Software,Web Server,Dev,Virtual,d061esxhc0126.epiqcorp.com
D061STSIWEB02,dqscust,72,Imaging Software,Web Server,Dev,Virtual,d061esxhc0112.epiqcorp.com
D061STSSQLS01,dqscust,72,Epiq Corp Doc Storage System,SQL Server (Function),Dev,Virtual,d061esxhc0120.epiqcorp.com
D061STTSQLS01,dqscust,72,Seapine Test Track,SQL Server (Function),Dev,Virtual,d061esxhc0113.epiqcorp.com
D061SVNAGTS01,epiqcorp,72,Servicenow,Agent,Dev,Virtual,d061esxhc0124.epiqcorp.com
D061SVNAGTS02,dqscust.local,72,Servicenow,UNKNOWN,Dev,Virtual,d061esxhc0121.epiqcorp.com
D061SVNAGTS03,dqscust,72,Servicenow,UNKNOWN,Dev,Virtual,d061esxhc0402.epiqcorp.com
D061SVNAGTS04,epiqcorp,72,Servicenow,Agent,Dev,Virtual,d061esxhc0126.epiqcorp.com
D061SvrOpsMgmt,dqscust,72,Utility Management Server,Management Server,Dev,Virtual,d061esxhc0124.epiqcorp.com
d061swarmlogb01,dqscust.local,72,Dmx,Log Monitoring,Dev,Virtual,d061esxhc0108.epiqcorp.com
D061TCMSQLS01,dqscust,72,Trustee Claims Management System,SQL Server,Dev,Virtual,d061esxhc0120.epiqcorp.com
D061TFSAGTS02,amer.epiqcorp.com,72,Team Foundation Services,Agent Server,Dev,Virtual,atl-i-esx-04.dtiad.local
D061TFSAGTS08,amer,72,Team Foundation Services,UNKNOWN,Dev,Virtual,d061esxhc0112.epiqcorp.com
D061TFSAPPS01_replica1,amer,72,Team Foundation Services,Application Server,Dev,Virtual,atl-i-esx-04.dtiad.local
D061TRNSQLS01,amer,72,Training Environment For External Clients,SQL Server (Function),Dev,Virtual,d061esxhc0121.epiqcorp.com
D061TRNWEBS01,amer,72,Training Environment For External Clients,Web Server,Dev,Virtual,d061esxhc0113.epiqcorp.com
D061TRNWEBS02,amer,72,Training Environment For External Clients,Web Server,Dev,Virtual,d061esxhc0121.epiqcorp.com
D061VECAPPS01,dqscust,72,Shared Application,Application Server,Dev,Virtual,d061esxhc0403.epiqcorp.com
D061VMDPLY01,dqscust,72,Vmware,Deploy Server,Dev,Virtual,d061esxhc0112.epiqcorp.com
D061VMDPLY02,dqscust.local,72,Vmware,Deployment,Dev,Virtual,d061esxhc0114.epiqcorp.com
D061VMSBXSQL01,dqscust,72,Vmware,Sql Server,Dev,Virtual,d061atl10cmp00.epiqcorp.com
D061VMWSVCS04,amer,72,Vmware,Services Server,Dev,Virtual,d061esxhc0110.epiqcorp.com
D061vrops-proxy01.epiqcorp.com,,72,Vmware,vRealize Operations Collector,Dev,Virtual,d061atl10cmp01.epiqcorp.com
d061vtnapps01,dqscust.local,72,Veriton Edge,Veritone Edge Language Translation Server,Dev,Virtual,d061esxhc0115.epiqcorp.com
d061vtnapps02,dqscust.local,72,Veriton Edge,Veritone Edge Language Translation Server,Dev,Virtual,d061esxhc0105.epiqcorp.com
D061WFCMXSQLA01,dqscust,72,Claimsmatrix,SQL Server,Dev,Virtual,d061esxhc0404.epiqcorp.com
D061WFECASQLS01,amer,72,Claimsmatrix,SQL Server,Dev,Virtual,d061esxhc0404.epiqcorp.com
D061WFSQLSSRS01,amer,72,Claimsmatrix,SQL Reporting Services,Dev,Virtual,d061esxhc0124.epiqcorp.com
D072STSPOC01,epiqcorp,72,UNKNOWN,POC Server,Dev,Virtual,atl-i-esx-09.dtiad.local
D076LBTAPPS11,wordwave,76,Liberty,Application Server,NON-PROD,Virtual,aus-dc1-bl03.wordwave.com.au
D077AZDBTMPL,amer,77,UNKNOWN,UNKNOWN,Dev,Virtual,p077h158cmp01.epiqcorp.com
D077BLDVERS01,amer.epiqcorp.com,77,UNKNOWN,UNKNOWN,Dev,Virtual,p077h156cmp04.epiqcorp.com
D077ENGSQLS01,client,77,Relativity,SQL,Dev,Virtual,p077h159cmp04.epiqcorp.com
D077KOMPOC01,,77,Unknown,UNKNOWN,DR,Virtual,p077h156cmp05.epiqcorp.com
D077KOMPOC02,,77,Komprise,POC - Storage Migration,DR,Virtual,p077h156cmp05.epiqcorp.com
D077KOMPOC03,,77,Komprise,POC - Storage Migration,DR,Virtual,p077h157cmp01.epiqcorp.com
D077KOMPOC04,client,77,Komprise,POC - Storage Migration,Dev,Virtual,p077h157cmp01.epiqcorp.com
D077KOMPOC05,client,77,Komprise,POC - Storage Migration,Dev,Virtual,p077h157cmp03.epiqcorp.com
D077KOMPOC06,client,77,Komprise,POC - Storage Migration,Dev,Virtual,p077h156cmp05.epiqcorp.com
D077KOMPOC07,client,77,Komprise,POC - Storage Migration,Dev,Virtual,p077h157cmp01.epiqcorp.com
D077KOMPOC08,client,77,Komprise,POC - Storage Migration,Dev,Virtual,p077h157cmp04.epiqcorp.com
D077KOMPOC09,client,77,Komprise,POC - Storage Migration,Dev,Virtual,p077h157cmp03.epiqcorp.com
D077KOMPOC10,,77,Komprise,POC - Storage Migration,Dev,Virtual,p077h156cmp02.epiqcorp.com
D077KOMPOC11,,77,Komprise,POC - Storage Migration,Dev,Virtual,p077h157cmp04.epiqcorp.com
D077KOMPOC12,,77,Komprise,POC - Storage Migration,Dev,Virtual,p077h157cmp03.epiqcorp.com
D077KOMPOC13,,77,Komprise,POC - Storage Migration,Dev,Virtual,p077h157cmp04.epiqcorp.com
D077P2V02,,77,UNKNOWN,UNKNOWN,Dev,Virtual,p077esxsup0101.epiqcorp.com
D077SQLDBCC06,amer.epiqcorp.com,77,Database Consistance Maintenance,Database Consistance Maintenance Servers,NON-PROD,Virtual,p077h158cmp04.epiqcorp.com
D077SQLDBCC07,amer,77,Database Consistance Maintenance,SQL Server,Dev,Virtual,p077h156cmp05.epiqcorp.com
D077SQLDBCC08,amer,77,Database Consistance Maintenance,Database Consistance Maintenance Servers,NON-PROD,Virtual,p077h158sql05.epiqcorp.com
D077SQLDBCC09,amer,77,Database Consistance Maintenance,Database Consistance Maintenance Servers,NON-PROD,Virtual,p077h156cmp02.epiqcorp.com
d077stspoc01,amer.epiqcorp.com,77,Streamline,UNKNOWN,DR,Virtual,p077h157cmp01.epiqcorp.com
D077STSPOC02,client,77,Streamline,UNKNOWN,DR,Virtual,p077h156cmp04.epiqcorp.com
D077STSPOC03,client,77,Streamline,UNKNOWN,DR,Virtual,p077h156cmp00.epiqcorp.com
D078SQLDBCC01,amer,78,Sql Server,Database Consistance Maintenance Servers,NON-PROD,Virtual,p078esxhc0102.epiqcorp.com
D081CLSSQLD01,gcdomain,81,Class,Dev Database Server?,NON-PROD,Virtual,gcgesxhc0205.epiqcorp.com
D081JAVSVCS02,gcdomain,81,Java,Dev Scheduler System - java services,NON-PROD,Virtual,gcgesxhc0205.epiqcorp.com
d082nbpoc01,cacust.local,82,UNKNOWN,UNKNOWN,NON-PROD,Virtual,p082n13cmp13.epiqcorp.com
D186AB2SCTL01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186AB2SOCR01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186AB2SOCR02,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186CR2SADC01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186CR2SADC02,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186CR2SDNL01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186CR2SJMP01,,Cloud,UNKNOWN,UNKNOWN,PROD,Virtual,
D186CR2SMGT01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186CR2SRAD01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186CR2SRAD01 - To Be Terninated,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186CR2SRAD02,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186CR2SRAD02,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186CR2SSMB01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186CR2SWUS01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186CR2SZCL01 - ZIC BASH CLI,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186EX2SEXO01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SAGT01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SAGT02,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SAGT03,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SAGT04,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SANL01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SANL02,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SCON01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SCON02,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SDTS01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SEWB01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SEWB02,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SINV01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SINV02,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SIWB01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SIWB02,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SMSG01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SSQL01,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186RL2SSQL02,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186ZERTOTEST,,Cloud,UNKNOWN,,,Virtual,
D186ZERTOTEST,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D186ZERTOTEST Failover through VPG,,Cloud,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,
D89dobiminer01,,54,Storage Support Server,UNKNOWN,UNKNOWN,Virtual,p054esxlnx0103.epiqcorp.com
DC1WSADS001,wordwave,76,Active Directory,Domain Controller,PROD,Virtual,aus-dc1-bl02.wordwave.com.au
DEVEBRD01,,54,UNKNOWN,UNKNOWN,UNKNOWN,Virtual,p054esxmc0103.epiqcorp.com
DEVEBRDST01,,54,UNKNOWN,UNKNOWN,PROD,Virtual,p054esxmc0203.epiqcorp.com
DM11AD03,dm11,54,Active Directory,Domain Controller,PROD,Virtual,p0542a07cmp00.epiqcorp.com
DM11AD04,dm11,54,Active Directory,Domain Controller,PROD,Virtual,p0542b07cmp02.epiqcorp.com
DM11BLKOUTAGT01,dm11,54,Relativity,Agent Server,PROD,Virtual,p0542a07cmp04.epiqcorp.com
DM11BLKOUTAGT02,dm11,54,Relativity,Agent Server,PROD,Virtual,p0542a07cmp04.epiqcorp.com
DM11NXLPCACHE01,dm11,54,Nexlp,Caching,PROD,Virtual,p0542a08cmp02.epiqcorp.com
DM11NXLPCOS01,dm11,54,Nexlp,AI Cosmic,PROD,Virtual,p0542a07cmp02.epiqcorp.com
DM11NXLPPROC01,dm11,54,Nexlp,Process Worker,PROD,Virtual,p0542a08cmp02.epiqcorp.com
DM11NXLPSQL01,dm11,54,Nexlp,SQL Server,PROD,Virtual,p0542a08sql04.epiqcorp.com
DM11NXLPWEB01,dm11,54,Nexlp,Web Server,PROD,Virtual,p0542a08cmp03.epiqcorp.com
DM11NXLPWEB02,dm11,54,Nexlp,Web Server,PROD,Virtual,p0542a07cmp00.epiqcorp.com
DM11-RLTVANLTS0,dm11,54,Relativity,UNKNOWN,UNKNOWN,Virtual,p0542a07cmp04.epiqcorp.com
DM11RLTVANLTS02,dm11,54,Relativity,Content Analytics,PROD,Virtual,p0542a07cmp03.epiqcorp.com
DM11RLTVAPP01,dm11,54,Relativity,Web Server,PROD,Virtual,p0542a07cmp01.epiqcorp.com
DM11RLTVAPP02,dm11,54,Relativity,Web Server,PROD,Virtual,p0542a07cmp05.epiqcorp.com
DM11RLTVAPP03,dm11,54,Relativity,Web Server,PROD,Virtual,p0542a08cmp02.epiqcorp.com
DM11RLTVAPP04,dm11,54,Relativity,Web Server,PROD,Virtual,p0542a08cmp00.epiqcorp.com
DM11-RLTVIMG01,dm11,54,Relativity,Worker,PROD,Virtual,p0542a07cmp03.epiqcorp.com
DM11-RLTVINVW02,dm11,54,Relativity,Invariant Worker,PROD,Virtual,p0542a08cmp03.epiqcorp.com
DM11RLTVINVW03,dm11,54,Relativity,Invariant Worker,PROD,Virtual,p0542a07cmp03.epiqcorp.com
DM11RLTVINVW04,dm11,54,Relativity,Invariant Worker,PROD,Virtual,p0542a08cmp03.epiqcorp.com
DM11-RLTVPROC01,dm11,54,Relativity,Process Worker,PROD,Virtual,p0542a07cmp03.epiqcorp.com
DM11-RLTVPROC02,dm11,54,Relativity,Process Worker,PROD,Virtual,p0542a07cmp01.epiqcorp.com
DM11-RLTVPROC03,dm11,54,Relativity,Process Worker,PROD,Virtual,p0542a07cmp01.epiqcorp.com
DM11RLTVPROC04,dm11,54,Relativity,Process Worker,PROD,Virtual,p0542a07cmp04.epiqcorp.com
DM11RLTVPROC05,dm11,54,Relativity,Process Worker,PROD,Virtual,p0542a07cmp03.epiqcorp.com
DM11RLTVPROC06,dm11,54,Relativity,Process Worker,PROD,Virtual,p0542a08cmp01.epiqcorp.com
DM11RLTVPROC07,dm11,54,Relativity,Process Worker,PROD,Virtual,p0542a08cmp00.epiqcorp.com
DM11RLTVPROC08,dm11,54,Relativity,Process Worker,PROD,Virtual,p0542a08cmp04.epiqcorp.com
DM11RLTVPROC09,dm11,54,Relativity,Process Worker,PROD,Virtual,p0542a07cmp03.epiqcorp.com
DM11RLTVPROC10,dm11,54,Relativity,Process Worker,PROD,Virtual,p0542a08cmp02.epiqcorp.com
DM11RLTVSBQMSS,dm11,54,Relativity,Message Broker,PROD,Virtual,p0542a08cmp00.epiqcorp.com
DM11SFTP03,dm11,54,Serv-U,FTP Server,PROD,Virtual,p0542a08cmp01.epiqcorp.com
DM11UTIL03,dm11,54,Utility Management Server,Utility Server,PROD,Physical,
DM12AD03,dm12,54,Active Directory,Domain Controller,PROD,Virtual,p0542a10cmp02.epiqcorp.com
DM12AD06,dm12,54,Active Directory,Domain Controller,PROD,Virtual,p0542a09cmp05.epiqcorp.com
DM12RLTVANLTS02,dm12,54,Relativity,Content Analytics,PROD,Virtual,p0542a10cmp00.epiqcorp.com
DM12RLTVANLTS03,dm12,54,Relativity,Content Analytics,PROD,Virtual,p0542a10cmp02.epiqcorp.com
DM12RLTVSBQMSS,dm12,54,Relativity,Message Broker,PROD,Virtual,p0542a10cmp02.epiqcorp.com
DM12RLTVSQL01,dm12,54,Relativity,SQL Server,PROD,Virtual,p0542a10sql02.epiqcorp.com
DM12RLTVSQL02,dm12,54,Relativity,SQL Server,PROD,Virtual,p0542a09sql00.epiqcorp.com
DM12RLTVSQL03,dm12,54,Relativity,SQL Server,PROD,Virtual,p0542a09sql04.epiqcorp.com
DM12SFTP02,dm12,54,Serv-U,FTP Server,PROD,Virtual,p054esxmc0105.epiqcorp.com
DM12UTIL03,dm12,54,Utility Management Server,Utility Server,PROD,Physical,
DM14AD03,dm14,54,Active Directory,Domain Controller,PROD,Virtual,p0542a10cmp05.epiqcorp.com
DM14AD04,dm14,54,Active Directory,Domain Controller,PROD,Virtual,p0542a09cmp02.epiqcorp.com
DM14-RLTVANLTS0,dm14.local,54,Relativity,Analytics Server,PROD,Virtual,p0542a09cmp02.epiqcorp.com
DM14RLTVANLTS02,dm14,54,Relativity,Content Analytics,PROD,Virtual,p0542a10cmp05.epiqcorp.com
DM14RLTVAPP02,dm14,54,Relativity,Web Server,PROD,Virtual,p0542a10cmp00.epiqcorp.com
DM14RLTVAPP03,dm14,54,Relativity,Web,PROD,Virtual,p0542a10cmp00.epiqcorp.com
DM14RLTVAPP04,dm14,54,Relativity,Web,PROD,Virtual,p0542a10cmp04.epiqcorp.com
DM14RLTVINVSQL0,dm14.local,54,Relativity,UNKNOWN,PROD,Virtual,p0542b07cmp06.epiqcorp.com
DM14-RLTVINVW01,dm14,54,Relativity,UNKNOWN,PROD,Virtual,"p0542a10cmp01.epiqcorp.com
p0542a07cmp00.epiqcorp.com"
DM14RLTVINVW02,dm14,54,Relativity,Invariant Worker,PROD,Virtual,p0542a10cmp05.epiqcorp.com
DM14RLTVINVW03,dm14,54,Relativity,Invariant Worker,PROD,Virtual,p0542a10cmp02.epiqcorp.com
DM14RLTVINVW04,dm14,54,Relativity,Invariant Worker,PROD,Virtual,p0542a10cmp00.epiqcorp.com
DM14RLTVINVW05,dm14,54,Relativity,Invariant Worker,PROD,Virtual,p0542a09cmp00.epiqcorp.com
DM14RLTVINVW06,dm14,54,Relativity,Invariant Worker,PROD,Virtual,p0542a10cmp03.epiqcorp.com
DM14RLTVLOAD03,dm14,54,Relativity,UNKNOWN,PROD,Virtual,p0542a10cmp05.epiqcorp.com
DM14RLTVLOAD04,dm14,54,Relativity,UNKNOWN,PROD,Virtual,p0542a10cmp01.epiqcorp.com
DM14-RLTVPROC01,dm14,54,Relativity,Agent,PROD,Virtual,p0542a10cmp02.epiqcorp.com
DM14-RLTVPROC02,dm14,54,Relativity,Process Worker,PROD,Virtual,p0542a09cmp02.epiqcorp.com
DM14-RLTVPROC03,dm14.local,54,Relativity,Process Worker,PROD,Virtual,p0542a09cmp03.epiqcorp.com
DM14RLTVPROC04,dm14,54,Relativity,Process Worker,PROD,Virtual,p0542a09cmp00.epiqcorp.com
DM14-RLTVPROC05,dm14,54,Relativity,Process Worker,PROD,Virtual,p0542a09cmp00.epiqcorp.com
DM14-RLTVPROC06,dm14,54,Relativity,Process Worker,PROD,Virtual,p0542a10cmp03.epiqcorp.com
DM14-RLTVPROC07,dm14,54,Relativity,Process Worker,PROD,Virtual,p0542a10cmp03.epiqcorp.com
DM14RLTVPROC08,dm14,54,Relativity,Process Worker,PROD,Virtual,p0542a10cmp05.epiqcorp.com
DM14RLTVSBQMSS,dm14,54,Relativity,Message Broker,PROD,Virtual,p0542a10cmp01.epiqcorp.com
DM14SFTP02,dm14,54,Serv-U,FTP Server,PROD,Virtual,p0542a10cmp02.epiqcorp.com
DM14UTIL03,dm14,54,Utility Management Server,Utility Server,PROD,Physical,
DM14UTIL04,dm14,54,Utility Management Server,Utility Server,PROD,Physical,
DM16AD03,dm16,54,Active Directory,Domain Controller,PROD,Virtual,p0542a08cmp03.epiqcorp.com
DM16AD04,dm16,54,Active Directory,Domain Controller,PROD,Virtual,p0542a08cmp02.epiqcorp.com
DM16INVSQL01,dm16,54,Relativity,SQL Server,PROD,Virtual,p0542a08sql02.epiqcorp.com
DM16NRLTVANLTS0,dm16,54,Relativity,Content Analytics,PROD,Virtual,p054esxmc0110.epiqcorp.com
DM16NRLTVAPP01,dm16,54,Relativity,Web Server,PROD,Virtual,p0542a07cmp05.epiqcorp.com
DM16NRLTVAPP02,dm16,54,Relativity,Web Server,PROD,Virtual,p0542a08cmp02.epiqcorp.com
DM16NRLTVPROC01,dm16,54,Relativity,Process Worker,PROD,Virtual,p0542a08cmp04.epiqcorp.com
DM16NRLTVPROC02,dm16,54,Relativity,Process Worker,PROD,Virtual,p0542a07cmp05.epiqcorp.com
DM16NRLTVPROC03,dm16,54,Relativity,Process Worker,PROD,Virtual,p0542a07cmp04.epiqcorp.com
DM16NRLTVPROC04,dm16,54,Relativity,Process Worker,PROD,Virtual,p0542a07cmp03.epiqcorp.com
DM16RLTVSQL01,dm16,54,Relativity,SQL - Host,PROD,Virtual,p0542a08sql05.epiqcorp.com
DM16SFTP02,dm16,54,Serv-U,FTP Server,PROD,Virtual,p0542a07cmp05.epiqcorp.com
DM16UTIL03,dm16,54,Utility Management Server,Utility Server,PROD,Physical,
DM18AD03,dm18,54,Active Directory,Domain Controller,PROD,Virtual,p0542a10cmp05.epiqcorp.com
DM18AD04,dm18,54,Active Directory,Domain Controller,PROD,Virtual,p0542a10cmp01.epiqcorp.com
DM18RELINVW01,dm18,54,Relativity,Invariant Worker,PROD,Virtual,p0542a10cmp04.epiqcorp.com
DM18RELINVW02,dm18,54,Relativity,Invariant Worker,PROD,Virtual,p0542a10cmp03.epiqcorp.com
DM18RELINVW03,dm18,54,Relativity,Invariant Worker,PROD,Virtual,p0542a09cmp02.epiqcorp.com
DM18RELINVW04,dm18,54,Relativity,Invariant Worker,PROD,Virtual,p0542a09cmp03.epiqcorp.com
DM18RELMSG01,dm18,54,Relativity,Message Broker,PROD,Virtual,p0542a10cmp01.epiqcorp.com
DM18RLTVANTS01,dm18.local,54,Relativity,Analytics Server,PROD,Virtual,p0542a09cmp00.epiqcorp.com
DM18RLTVAPP01,dm18,54,Relativity,Web Server,PROD,Virtual,p0542a09cmp03.epiqcorp.com
DM18RLTVAPP02,dm18,54,Relativity,Web Server,PROD,Virtual,p0542a09cmp02.epiqcorp.com
DM18RLTVAPP03,dm18,54,Relativity,Web Server,PROD,Virtual,p0542a10cmp01.epiqcorp.com
DM18RLTVDTS01,dm18,54,Relativity,Agent Server,PROD,Virtual,p0542a10cmp04.epiqcorp.com
DM18RLTVPROC01,dm18,54,Relativity,Process Worker,PROD,Virtual,p0542a09cmp01.epiqcorp.com
DM18RLTVPROC02,dm18,54,Relativity,Process Worker,PROD,Virtual,p0542a09cmp00.epiqcorp.com
DM18RLTVPROC03,dm18,54,Relativity,Process Worker,PROD,Virtual,p0542a10cmp04.epiqcorp.com
DM18RLTVPROC04,dm18,54,Relativity,Process Worker,PROD,Virtual,p0542a10cmp02.epiqcorp.com
DM18RLTVPROC05,dm18,54,Relativity,Process Worker,PROD,Virtual,p0542a10cmp02.epiqcorp.com
DM18RLTVPROC06,dm18,54,Relativity,Process Worker,PROD,Virtual,p0542a09cmp05.epiqcorp.com
DM18RLTVSQL01,dm18,54,Relativity,SQL - Host,Prod,Virtual,p0542a09sql00.epiqcorp.com
DM18RLTVSQL02,dm18,54,Relativity,SQL Server,PROD,Virtual,p0542a10sql03.epiqcorp.com
DM18SFTP02,dm18,54,Serv-U,FTP Server,PROD,Virtual,p0542a09cmp05.epiqcorp.com
DM18UTIL03,dm18,54,Utility Management Server,Utility Server,PROD,Physical,
DM1ABBYYPROC01,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b08cmp02.epiqcorp.com
DM1ABBYYPROC02,idsp,54,Abby,Processing,PROD,Virtual,p0542b08cmp02.epiqcorp.com
DM1ABBYYPROC03,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b07cmp07.epiqcorp.com
DM1ABBYYPROC04,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b08cmp01.epiqcorp.com
DM1ABBYYPROC05,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b07cmp07.epiqcorp.com
DM1ABBYYPROC06,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b07cmp07.epiqcorp.com
DM1ABBYYPROC07,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b08cmp06.epiqcorp.com
DM1ABBYYPROC08,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b08cmp08.epiqcorp.com
DM1ABBYYPROC09,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b07cmp03.epiqcorp.com
DM1ABBYYPROC10,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b07cmp07.epiqcorp.com
DM1ABBYYPROC11,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b07cmp07.epiqcorp.com
DM1ABBYYPROC12,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b07cmp07.epiqcorp.com
DM1ABBYYPROC13,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b07cmp07.epiqcorp.com
DM1ABBYYPROC14,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b07cmp07.epiqcorp.com
DM1ABBYYPROC15,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b07cmp03.epiqcorp.com
DM1ABBYYPROC16,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b07cmp02.epiqcorp.com
DM1ABBYYPROC17,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b07cmp03.epiqcorp.com
DM1ABBYYPROC18,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b08cmp06.epiqcorp.com
DM1ABBYYPROC19,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b07cmp07.epiqcorp.com
DM1ABBYYPROC20,idsp,54,Abby,Processing,PROD,Virtual,p0542b07cmp08.epiqcorp.com
DM1ABBYYPROC21,idsp,54,Abby,Process Worker,PROD,Virtual,p0542b07cmp02.epiqcorp.com
